chrom,start,end,name,score,strand,feature,relative_pos
chr15,2876033808,2876033809,PSI_54,760,+,3UTR,0.9287992286583104
chr4,217999045,217999046,PSI_55,244,-,CDS,0.4684856919994494
chr21,1892857957,1892857958,PSI_56,794,+,CDS,0.28279152514960376
chr19,357223662,357223663,PSI_57,282,-,CDS,0.2812687013764213
chr1,2961231747,2961231748,PSI_58,251,-,CDS,0.43900989406705593
chr13,1319134647,1319134648,PSI_59,533,-,3UTR,0.999454276136275
chr12,500756136,500756137,PSI_60,725,-,5UTR,0.028251225776325006
chr14,1921663525,1921663526,PSI_61,681,-,3UTR,0.8680161147685959
chr18,1953141539,1953141540,PSI_62,841,-,CDS,0.6494333480072483
chr10,2116347337,2116347338,PSI_63,644,-,CDS,0.6777006678014927
chr16,728424732,728424733,PSI_64,954,+,CDS,0.7894753076899349
chr1,881412080,881412081,PSI_65,468,-,CDS,0.3534079348931841
chr8,2542454759,2542454760,PSI_66,264,-,5UTR,0.052225739107010574
chr14,2802377125,2802377126,PSI_67,821,-,CDS,0.3470212133227597
chr18,2831096524,2831096525,PSI_68,647,+,CDS,0.512394562385534
chr15,2588910023,2588910024,PSI_69,172,-,CDS,0.6524037870404524
chr8,251250779,251250780,PSI_70,917,+,CDS,0.5564251639833036
chr10,459214667,459214668,PSI_71,110,-,CDS,0.46178514163548906
chr7,2681931343,2681931344,PSI_72,604,-,CDS,0.3340012679436671
chr13,2568629285,2568629286,PSI_73,866,-,3UTR,0.9526307423303132
chr11,36987152,36987153,PSI_74,305,+,3UTR,0.992006067500948
chr11,970919346,970919347,PSI_75,965,+,CDS,0.7639198218262806
chr14,2685260554,2685260555,PSI_76,734,-,3UTR,0.9990676265785436
chr1,1960542065,1960542066,PSI_77,775,+,3UTR,0.8144258511252164
chr14,1301141402,1301141403,PSI_78,962,+,CDS,0.2278591310661987
chr20,2517596606,2517596607,PSI_79,388,+,3UTR,0.905908464202845
chr20,2367785677,2367785678,PSI_80,942,-,3UTR,0.9552760809677806
chr13,356880030,356880031,PSI_81,660,-,3UTR,0.8137503648651683
chr21,2961752044,2961752045,PSI_82,118,-,CDS,0.6637135386195121
chr1,702733344,702733345,PSI_83,691,-,5UTR,0.14185685978583382
chr5,137655807,137655808,PSI_84,995,-,CDS,0.6780850963577251
chr13,411332319,411332320,PSI_85,743,+,CDS,0.41220397722584373
chr7,2699357669,2699357670,PSI_86,577,-,CDS,0.5779868686346482
chr3,394304788,394304789,PSI_87,185,+,3UTR,0.9595764307466798
chr19,885082987,885082988,PSI_88,797,-,5UTR,0.106049647954734
chr14,779328660,779328661,PSI_89,434,+,3UTR,0.9011406844106464
chr2,1140476736,1140476737,PSI_90,289,-,CDS,0.675447061306957
chr20,204355865,204355866,PSI_91,182,+,3UTR,0.8466958077426733
chr9,2968041123,2968041124,PSI_92,136,+,3UTR,0.9192037470725996
chr11,597415804,597415805,PSI_93,651,+,3UTR,0.9297202026878167
chr20,2845607531,2845607532,PSI_94,454,+,3UTR,0.9486810551558753
chr12,2699906150,2699906151,PSI_95,379,+,3UTR,0.8888812202360411
chr9,2834170081,2834170082,PSI_96,169,-,CDS,0.648184964288344
chr18,2603830514,2603830515,PSI_97,208,+,CDS,0.5741717028845742
chr8,2888552677,2888552678,PSI_98,286,+,CDS,0.4739710170250407
chr11,1982213770,1982213771,PSI_99,881,+,5UTR,0.17505112474437629
chr17,1229104644,1229104645,PSI_100,747,-,CDS,0.32051775575016844
chr1,1612770839,1612770840,PSI_101,123,+,CDS,0.2479803003469274
chr4,2404528398,2404528399,PSI_102,889,-,5UTR,0.1190189949507093
chr19,1755956777,1755956778,PSI_103,815,-,3UTR,0.8495026668588727
chr21,1014513210,1014513211,PSI_104,421,-,3UTR,0.8271794352212364
chr21,2483182508,2483182509,PSI_105,704,-,3UTR,0.9131610576923077
chr22,683507988,683507989,PSI_106,411,+,5UTR,0.06050607464382484
chr9,983264390,983264391,PSI_107,103,-,3UTR,0.8233513634707548
chr17,2414575667,2414575668,PSI_108,295,-,CDS,0.7877502048460728
chr11,403964305,403964306,PSI_109,263,-,CDS,0.5929549902152642
chr21,1748815086,1748815087,PSI_110,258,+,CDS,0.565364238410596
chr21,2435154634,2435154635,PSI_111,503,+,CDS,0.6383704855711076
chr13,944829590,944829591,PSI_112,763,-,3UTR,0.8112066220948743
chr16,1134871760,1134871761,PSI_113,588,-,3UTR,0.9105850127176678
chr13,718829713,718829714,PSI_114,830,-,5UTR,0.10933293448997906
chr18,1344201285,1344201286,PSI_115,211,-,5UTR,0.1252757483151525
chr13,1558209871,1558209872,PSI_116,708,-,CDS,0.6746608228892227
chr1,125075575,125075576,PSI_117,285,+,5UTR,0.13104089219330856
chr5,2212635534,2212635535,PSI_118,510,+,3UTR,0.9136555607695918
chr5,2174714142,2174714143,PSI_119,237,+,CDS,0.6557960958460542
chr8,2018534403,2018534404,PSI_120,306,+,5UTR,0.0483619344773791
chr20,390121504,390121505,PSI_121,709,-,CDS,0.5471988748618692
chr4,46624338,46624339,PSI_122,255,+,3UTR,0.802087771623349
chr20,2657953813,2657953814,PSI_123,140,+,CDS,0.46875615747369526
chr21,1231595933,1231595934,PSI_124,781,+,3UTR,0.8888375317772128
chr5,1309737390,1309737391,PSI_125,360,+,3UTR,0.8708657476911879
chr19,1631306924,1631306925,PSI_126,408,+,5UTR,0.11922488395118877
chr13,1018617459,1018617460,PSI_127,274,-,3UTR,0.8800067236576697
chr19,1939001068,1939001069,PSI_128,767,-,CDS,0.7585198852899985
chr13,1787371157,1787371158,PSI_129,540,+,5UTR,0.0022245291413317513
chr9,2672881492,2672881493,PSI_130,940,+,CDS,0.553577088521621
chr18,2511595897,2511595898,PSI_131,994,+,5UTR,0.027896636626586667
chr19,840353542,840353543,PSI_132,385,+,3UTR,0.9084975977458548
chr18,2151772193,2151772194,PSI_133,869,+,5UTR,0.11257928118393234
chr16,191029913,191029914,PSI_134,761,-,5UTR,0.1334938308757147
chr11,1815826946,1815826947,PSI_135,243,-,CDS,0.4493750082322414
chr7,608777556,608777557,PSI_136,135,-,3UTR,0.9185422202939422
chr16,2313930455,2313930456,PSI_137,187,-,CDS,0.2968910850319127
chr17,2748197730,2748197731,PSI_138,625,-,3UTR,0.8536652871866516
chr14,1222216822,1222216823,PSI_139,440,+,CDS,0.5756470937064165
chr7,2888932281,2888932282,PSI_140,450,+,3UTR,0.8761741789849268
chr5,2479507655,2479507656,PSI_141,735,-,5UTR,0.09331125218511363
chr1,748597829,748597830,PSI_142,111,-,CDS,0.569634402252428
chr21,2937626918,2937626919,PSI_143,634,-,CDS,0.26308267704564114
chr13,2145408217,2145408218,PSI_144,813,+,3UTR,0.8491464405992335
chr6,225024680,225024681,PSI_145,567,+,CDS,0.24944737673117698
chr21,1748839452,1748839453,PSI_146,341,-,3UTR,0.8880927152317881
chr18,925911199,925911200,PSI_147,479,-,CDS,0.27411680164695373
chr5,2098046700,2098046701,PSI_148,609,-,CDS,0.40640042117930203
chr5,1780330342,1780330343,PSI_149,871,-,CDS,0.31264236902050113
chr10,2748261034,2748261035,PSI_150,121,-,CDS,0.646011186340889
chr22,1498670975,1498670976,PSI_151,383,-,CDS,0.22794602698650673
chr4,2050311550,2050311551,PSI_152,846,+,3UTR,0.9174491589254331
chr13,2003238507,2003238508,PSI_153,172,-,CDS,0.28128428775670794
chr3,335096887,335096888,PSI_154,907,+,CDS,0.45364951100706113
chr5,2066478214,2066478215,PSI_155,193,+,3UTR,0.8640180878552972
chr5,1881463489,1881463490,PSI_156,713,+,3UTR,0.8341870284488129
chr14,2159226632,2159226633,PSI_157,668,-,CDS,0.5560488346281909
chr17,1820729650,1820729651,PSI_158,112,+,3UTR,0.9156067780691113
chr3,2696820559,2696820560,PSI_159,669,-,5UTR,0.05049802029200693
chr11,2512631255,2512631256,PSI_160,991,+,CDS,0.5630269595086915
chr10,2016509053,2016509054,PSI_161,472,-,CDS,0.7765860148000333
chr1,2250912694,2250912695,PSI_162,724,+,CDS,0.3600398735324325
chr2,2654401964,2654401965,PSI_163,491,+,CDS,0.7737545758395671
chr13,2891605595,2891605596,PSI_164,522,-,3UTR,0.8447794175676742
chr5,2975002443,2975002444,PSI_165,923,-,5UTR,0.1244323800682153
chr16,425678471,425678472,PSI_166,679,+,CDS,0.2345723719245926
chr8,2511519311,2511519312,PSI_167,359,+,3UTR,0.8044469535762366
chr13,2360315824,2360315825,PSI_168,489,+,3UTR,0.8893982913536603
chr8,163339005,163339006,PSI_169,619,+,CDS,0.7274910803815031
chr15,1504546293,1504546294,PSI_170,187,-,5UTR,0.02355982153147072
chr15,966407693,966407694,PSI_171,944,+,CDS,0.7535408350262099
chr7,114109657,114109658,PSI_172,146,+,3UTR,0.8292298157642685
chr14,1280830440,1280830441,PSI_173,634,+,3UTR,0.8633864591055103
chr18,1984447178,1984447179,PSI_174,888,-,3UTR,0.8766712141882674
chr20,1000747546,1000747547,PSI_175,377,+,5UTR,0.18371874733339022
chr22,1079026909,1079026910,PSI_176,639,+,CDS,0.7500856191039572
chr7,92986850,92986851,PSI_177,419,-,3UTR,0.8506765656807568
chr7,869705547,869705548,PSI_178,644,+,3UTR,0.9467787114845938
chr20,2679549052,2679549053,PSI_179,601,-,3UTR,0.9670446453026568
chr20,2383469643,2383469644,PSI_180,350,-,CDS,0.502042602859644
chr21,2456447956,2456447957,PSI_181,965,+,3UTR,0.9565139753999349
chr12,2591206537,2591206538,PSI_182,770,+,CDS,0.6910707093953167
chr2,2818845771,2818845772,PSI_183,789,+,5UTR,0.06877963165572575
chr18,2732214010,2732214011,PSI_184,610,-,CDS,0.7580150493919617
chr16,1557557302,1557557303,PSI_185,743,+,CDS,0.43821786109299227
chr10,1739674421,1739674422,PSI_186,242,-,CDS,0.47029933791302725
chr12,870661870,870661871,PSI_187,829,-,CDS,0.5005642850941922
chr15,1567132810,1567132811,PSI_188,279,-,CDS,0.7167505391804457
chr7,1309591872,1309591873,PSI_189,650,-,5UTR,0.11917223414775331
chr20,143981349,143981350,PSI_190,297,-,CDS,0.47867784409312497
chr6,1186261172,1186261173,PSI_191,273,-,CDS,0.5002741415941334
chr2,2920329713,2920329714,PSI_192,374,+,CDS,0.2667077714929094
chr16,172858707,172858708,PSI_193,180,-,3UTR,0.8640893289792478
chr6,2655818668,2655818669,PSI_194,262,-,3UTR,0.9944336049581086
chr18,2925124223,2925124224,PSI_195,909,+,3UTR,0.8573060664914887
chr6,1265064881,1265064882,PSI_196,611,+,5UTR,0.09056714663532177
chr13,1319116986,1319116987,PSI_197,644,-,CDS,0.5405005067435877
chr6,1770351774,1770351775,PSI_198,181,+,3UTR,0.8229449639046061
chr10,2222818605,2222818606,PSI_199,565,-,CDS,0.5369814892961826
chr17,1165575512,1165575513,PSI_200,853,-,CDS,0.570369477427521
chr19,1844198922,1844198923,PSI_201,572,+,3UTR,0.8970230862697448
chr5,2630238581,2630238582,PSI_202,688,-,CDS,0.2228380315336837
chr14,951629720,951629721,PSI_203,183,-,3UTR,0.9060267857142857
chr6,2562209427,2562209428,PSI_204,808,-,5UTR,0.05716399963000648
chr9,557185426,557185427,PSI_205,129,-,CDS,0.43653546037801283
chr22,2631444210,2631444211,PSI_206,422,+,3UTR,0.9521891790704969
chr14,995408768,995408769,PSI_207,993,-,3UTR,0.9085698657502645
chr7,763963197,763963198,PSI_208,137,-,CDS,0.7154832676507915
chr4,2995488644,2995488645,PSI_209,701,-,CDS,0.7701612903225806
chr14,1996627970,1996627971,PSI_210,877,+,CDS,0.3209384683488269
chr10,2498461488,2498461489,PSI_211,184,+,5UTR,0.18502949352498474
chr9,2393500262,2393500263,PSI_212,335,-,CDS,0.46738949679050124
chr13,2584948669,2584948670,PSI_213,760,+,CDS,0.686070842553704
chr12,570397036,570397037,PSI_214,920,-,CDS,0.32122626240828656
chr1,1577823927,1577823928,PSI_215,246,-,CDS,0.32839092829526884
chr19,307084090,307084091,PSI_216,204,-,CDS,0.4279010709948106
chr18,2673190733,2673190734,PSI_217,909,-,CDS,0.6271493212669683
chr1,860061017,860061018,PSI_218,314,+,CDS,0.37029439696106364
chr16,676248883,676248884,PSI_219,312,-,CDS,0.7208902550091074
chr12,1570235826,1570235827,PSI_220,161,-,3UTR,0.9511965762757403
chr2,894172041,894172042,PSI_221,479,+,CDS,0.5707363167203741
chr7,250789378,250789379,PSI_222,845,-,5UTR,0.04789028193215809
chr22,941243278,941243279,PSI_223,388,-,3UTR,0.9928308070462925
chr2,2161786615,2161786616,PSI_224,405,+,CDS,0.763846742860384
chr5,1025219785,1025219786,PSI_225,268,+,CDS,0.7813001698503921
chr6,262642616,262642617,PSI_226,633,+,3UTR,0.9923553102625299
chr14,2417324582,2417324583,PSI_227,270,+,CDS,0.28892979226926113
chr15,1087344795,1087344796,PSI_228,266,-,3UTR,0.8233744401650964
chr5,2798893334,2798893335,PSI_229,456,-,3UTR,0.8067144350278929
chr9,2459705751,2459705752,PSI_230,524,-,CDS,0.7816246382802811
chr9,546998192,546998193,PSI_231,513,-,3UTR,0.8547315903715943
chr1,474158418,474158419,PSI_232,823,+,CDS,0.6705847554623902
chr2,2149943749,2149943750,PSI_233,928,-,CDS,0.3203798427583594
chr14,1737022779,1737022780,PSI_234,169,+,CDS,0.5610560454777349
chr14,371003231,371003232,PSI_235,324,-,3UTR,0.8106004901960784
chr5,154406260,154406261,PSI_236,795,+,CDS,0.49545041725928335
chr17,2646260221,2646260222,PSI_237,277,-,CDS,0.517512968162566
chr14,2855851323,2855851324,PSI_238,682,+,CDS,0.43325134168157425
chr22,730172365,730172366,PSI_239,624,+,3UTR,0.8952114786216434
chr5,2924636624,2924636625,PSI_240,977,+,5UTR,0.008117405400054446
chr1,1049581735,1049581736,PSI_241,576,+,3UTR,0.9254745722990392
chr13,1075360422,1075360423,PSI_242,625,+,CDS,0.5659278836089596
chr13,856798663,856798664,PSI_243,786,-,CDS,0.7286840134558465
chr20,1919367929,1919367930,PSI_244,270,+,CDS,0.7665461405439397
chr13,1217570554,1217570555,PSI_245,472,-,CDS,0.3870594407752608
chr9,2112954758,2112954759,PSI_246,136,+,CDS,0.697186329637968
chr7,1518815797,1518815798,PSI_247,322,+,3UTR,0.805569803005262
chr12,685577786,685577787,PSI_248,183,+,3UTR,0.8080397470641373
chr6,2104082467,2104082468,PSI_249,357,-,CDS,0.7608029552418316
chr12,2136755790,2136755791,PSI_250,904,-,3UTR,0.8388667953417879
chr9,2774208810,2774208811,PSI_251,938,-,5UTR,0.1386917973535155
chr22,2564890871,2564890872,PSI_252,190,-,CDS,0.5510846352703158
chr17,588312600,588312601,PSI_253,843,+,CDS,0.5142195937258935
chr20,86063422,86063423,PSI_254,312,-,CDS,0.4741812136325852
chr18,540665395,540665396,PSI_255,509,+,CDS,0.5596732228797908
chr12,1632029084,1632029085,PSI_256,749,+,5UTR,0.08968591442246461
chr13,1558195198,1558195199,PSI_257,757,-,CDS,0.31337256543471304
chr6,369792613,369792614,PSI_258,371,-,3UTR,0.9681059666253151
chr9,2149343992,2149343993,PSI_259,832,-,CDS,0.7601288859717167
chr1,67503424,67503425,PSI_260,356,-,CDS,0.764433397356231
chr4,2210663526,2210663527,PSI_261,798,-,5UTR,0.02866779089376054
chr16,2997369080,2997369081,PSI_262,830,+,5UTR,0.00748262380538662
chr19,2827241449,2827241450,PSI_263,285,-,CDS,0.5488335480177472
chr1,1843058059,1843058060,PSI_264,739,-,5UTR,0.028227560539417083
chr14,1557716827,1557716828,PSI_265,549,+,5UTR,0.12254099580369632
chr11,518916202,518916203,PSI_266,294,-,CDS,0.4083534691059717
chr10,1407117705,1407117706,PSI_267,943,-,3UTR,0.9933699729564687
chr21,1401928658,1401928659,PSI_268,250,-,CDS,0.32413819057654675
chr12,2822254074,2822254075,PSI_269,933,-,CDS,0.24887833201372395
chr20,626752687,626752688,PSI_270,257,+,CDS,0.5285118043310033
chr9,975557654,975557655,PSI_271,173,-,3UTR,0.9302359211667975
chr5,1160497209,1160497210,PSI_272,498,+,CDS,0.5700553926360378
chr2,1506798850,1506798851,PSI_273,198,+,CDS,0.6519426169914706
chr4,1576065944,1576065945,PSI_274,919,-,CDS,0.48193417372313113
chr4,2965647894,2965647895,PSI_275,577,+,5UTR,0.07105303511577471
chr17,2512165455,2512165456,PSI_276,969,+,CDS,0.4109217252956797
chr15,1378449233,1378449234,PSI_277,889,-,5UTR,0.012219473294234368
chr12,1103003686,1103003687,PSI_278,466,+,3UTR,0.9939836699613236
chr20,1681243091,1681243092,PSI_279,109,-,CDS,0.5417736254551967
chr22,60449279,60449280,PSI_280,567,-,3UTR,0.8350626978085813
chr1,2068025586,2068025587,PSI_281,577,-,3UTR,0.8175580984413654
chr10,2885473409,2885473410,PSI_282,558,-,CDS,0.26047574196909884
chr15,2602739755,2602739756,PSI_283,365,-,CDS,0.6417487411723724
chr20,450377689,450377690,PSI_284,153,+,3UTR,0.9762576750722868
chr22,119088715,119088716,PSI_285,627,-,3UTR,0.9224126206990344
chr6,2801898100,2801898101,PSI_286,446,-,3UTR,0.8042780061664954
chr19,1003373546,1003373547,PSI_287,993,+,3UTR,0.8618229444913574
chr3,1397471728,1397471729,PSI_288,458,-,CDS,0.7903985074950648
chr13,2610296813,2610296814,PSI_289,729,+,CDS,0.21469933184855233
chr17,2417154101,2417154102,PSI_290,269,-,5UTR,0.12712674006004912
chr5,2250291149,2250291150,PSI_291,960,+,CDS,0.5424616792495996
chr10,85744198,85744199,PSI_292,834,-,CDS,0.580567813687728
chr7,992282839,992282840,PSI_293,153,+,CDS,0.2530444657988993
chr12,2902907006,2902907007,PSI_294,510,-,CDS,0.4037737571014625
chr20,1811728980,1811728981,PSI_295,743,+,CDS,0.594711466023806
chr7,2451684370,2451684371,PSI_296,842,-,CDS,0.2823695482866044
chr12,2797807588,2797807589,PSI_297,850,+,CDS,0.24485349284165306
chr9,1827468163,1827468164,PSI_298,155,+,3UTR,0.9121032243680852
chr19,2768206260,2768206261,PSI_299,444,+,3UTR,0.8743313956861244
chr21,2051295255,2051295256,PSI_300,854,-,CDS,0.32463886247339585
chr10,848038202,848038203,PSI_301,387,+,3UTR,0.8939097116187952
chr5,1805231663,1805231664,PSI_302,818,-,CDS,0.5378460012622848
chr2,1293921724,1293921725,PSI_303,366,-,CDS,0.5328674047848065
chr13,1442221689,1442221690,PSI_304,274,-,CDS,0.7614695191977552
chr22,2087429466,2087429467,PSI_305,133,+,5UTR,0.029937402555092734
chr8,2529357414,2529357415,PSI_306,638,+,CDS,0.549275291272448
chr4,2092017589,2092017590,PSI_307,773,-,CDS,0.22347691251494384
chr16,474728411,474728412,PSI_308,631,-,CDS,0.6282020098572617
chr20,2465633310,2465633311,PSI_309,415,-,5UTR,0.05739122721426354
chr19,1105643232,1105643233,PSI_310,966,-,CDS,0.6105030037674372
chr7,42036577,42036578,PSI_311,539,-,CDS,0.6588835542424119
chr8,998042227,998042228,PSI_312,176,-,5UTR,0.14260553750560642
chr8,1338167610,1338167611,PSI_313,739,+,5UTR,0.12422532973144763
chr10,2842243990,2842243991,PSI_314,236,-,CDS,0.4455460865912834
chr8,1315329925,1315329926,PSI_315,816,-,CDS,0.460331335769729
chr10,334880617,334880618,PSI_316,744,+,CDS,0.7723567489810597
chr22,2857544427,2857544428,PSI_317,763,-,5UTR,0.12610899873257286
chr19,1251195866,1251195867,PSI_318,444,-,CDS,0.7341294141661564
chr10,166062880,166062881,PSI_319,145,-,CDS,0.7735162279667015
chr17,2375560104,2375560105,PSI_320,256,+,5UTR,0.13882833025881827
chr17,1830654976,1830654977,PSI_321,627,-,3UTR,0.8457526739149651
chr21,2575470872,2575470873,PSI_322,931,-,CDS,0.7898666013951781
chr8,2327649482,2327649483,PSI_323,184,+,CDS,0.6912402205976658
chr8,216678223,216678224,PSI_324,417,-,CDS,0.23846504030206464
chr13,1558187475,1558187476,PSI_325,357,+,5UTR,0.12321177947947702
chr7,1448094405,1448094406,PSI_326,340,+,5UTR,0.024774774774774775
chr1,365954775,365954776,PSI_327,551,+,CDS,0.5104030386157418
chr8,2970755674,2970755675,PSI_328,724,-,3UTR,0.842074451599573
chr9,320241275,320241276,PSI_329,271,+,CDS,0.29295774647887324
chr18,1851895719,1851895720,PSI_330,940,-,CDS,0.7484591335417597
chr13,1851187569,1851187570,PSI_331,824,+,CDS,0.2691506595695441
chr5,1044950027,1044950028,PSI_332,587,+,5UTR,0.02861565108437287
chr22,1152696823,1152696824,PSI_333,207,-,3UTR,0.9945631067961165
chr10,180802118,180802119,PSI_334,735,+,5UTR,0.057283747688514484
chr5,1611024466,1611024467,PSI_335,237,-,3UTR,0.8834359346920048
chr18,1668021907,1668021908,PSI_336,716,+,5UTR,0.04759258965281857
chr6,1154431827,1154431828,PSI_337,298,+,5UTR,0.03899811473202262
chr5,374680306,374680307,PSI_338,207,-,3UTR,0.9132864918839274
chr4,2403940392,2403940393,PSI_339,770,+,3UTR,0.9728729963008631
chr20,502205586,502205587,PSI_340,874,+,CDS,0.3688442961708908
chr17,366193665,366193666,PSI_341,612,-,5UTR,0.03930199654142431
chr7,2582370553,2582370554,PSI_342,379,+,5UTR,0.05559555841891841
chr22,2341805049,2341805050,PSI_343,437,-,5UTR,0.13306007516492002
chr21,754076106,754076107,PSI_344,486,-,3UTR,0.8261491317671092
chr9,1560847714,1560847715,PSI_345,271,-,CDS,0.6393759919482832
chr8,256500704,256500705,PSI_346,161,-,CDS,0.3559811888865392
chr19,1624467310,1624467311,PSI_347,146,+,3UTR,0.8268801727240015
chr13,869533773,869533774,PSI_348,251,-,CDS,0.37891348317807594
chr1,1605995918,1605995919,PSI_349,597,-,5UTR,0.16225816868743212
chr3,690810351,690810352,PSI_350,925,-,CDS,0.7648026817004419
chr6,1038085011,1038085012,PSI_351,926,+,3UTR,0.884657474283213
chr1,2573234574,2573234575,PSI_352,110,-,CDS,0.6599806887672997
chr12,2673878420,2673878421,PSI_353,566,-,5UTR,0.041923536581036785
chr15,26959034,26959035,PSI_354,776,+,5UTR,0.15429387798296207
chr12,2208970447,2208970448,PSI_355,864,-,5UTR,0.11109288160620168
chr4,2265100940,2265100941,PSI_356,327,+,3UTR,0.9844913151364765
chr6,15787655,15787656,PSI_357,165,+,CDS,0.5658028455284553
chr3,1337883342,1337883343,PSI_358,133,-,CDS,0.37429187152387955
chr19,747545105,747545106,PSI_359,540,-,3UTR,0.8573821085117812
chr19,923389123,923389124,PSI_360,857,+,5UTR,0.04616941046629265
chr11,758776028,758776029,PSI_361,808,-,5UTR,0.14888521163560356
chr12,2391689354,2391689355,PSI_362,975,+,CDS,0.3053973948989938
chr12,557565061,557565062,PSI_363,127,-,CDS,0.21294917647781172
chr19,1229662022,1229662023,PSI_364,473,+,CDS,0.2440085130008328
chr5,1949194653,1949194654,PSI_365,266,-,CDS,0.30935683877691617
chr16,516515982,516515983,PSI_366,133,-,5UTR,0.015839124189603634
chr3,1243495553,1243495554,PSI_367,294,-,3UTR,0.967068328084349
chr4,2940933485,2940933486,PSI_368,748,+,5UTR,0.053394756369032896
chr14,539801496,539801497,PSI_369,454,-,3UTR,0.9112896568802795
chr15,996953289,996953290,PSI_370,204,-,CDS,0.5896155766350474
chr15,450384116,450384117,PSI_371,719,+,CDS,0.4894382556644445
chr2,555249384,555249385,PSI_372,728,-,CDS,0.6053589861222617
chr22,762862799,762862800,PSI_373,123,+,3UTR,0.8287395740717219
chr12,6826001,6826002,PSI_374,891,-,CDS,0.3545103952213878
chr21,852463136,852463137,PSI_375,168,-,CDS,0.5179879805713344
chr22,2724575747,2724575748,PSI_376,928,+,CDS,0.3617347078286074
chr10,464966488,464966489,PSI_377,672,-,CDS,0.3223535328136787
chr18,2260688464,2260688465,PSI_378,854,+,CDS,0.38991651661483057
chr2,420535791,420535792,PSI_379,586,+,CDS,0.5922165820642978
